method,method_variant,task_kind,mode,target_sut,seed,step,scenario_index,scenario_id,selected_reason,visible_target_count_before,collision_offline,critical_offline,cumulative_failures
Random-within-SUT,Random-within-SUT,failure_discovery,static,SUT-A,0,10,25,cutin:g=18.78663259:dv=1.53360815:mode=cutin_braking,baseline,0,False,False,0
Random-within-SUT,Random-within-SUT,failure_discovery,static,SUT-A,0,11,16,cutin:g=11.58988854:dv=-1.00992078:mode=fast_intrusion,baseline,0,False,False,0
Random-within-SUT,Random-within-SUT,failure_discovery,static,SUT-A,0,12,34,cutin:g=14.21393322:dv=-4.37565663:mode=cutin_braking,baseline,0,False,True,0
Random-within-SUT,Random-within-SUT,failure_discovery,static,SUT-A,0,13,11,cutin:g=28.66255933:dv=-4.04042794:mode=fast_intrusion,baseline,0,False,False,0
Random-within-SUT,Random-within-SUT,failure_discovery,static,SUT-A,0,14,10,cutin:g=22.39207443:dv=1.98937310:mode=fast_intrusion,baseline,0,False,False,0
Random-within-SUT,Random-within-SUT,failure_discovery,static,SUT-A,0,15,84,cutin:g=22.92499196:dv=-2.87969031:mode=lead_braking,baseline,0,False,False,0
Random-within-SUT,Random-within-SUT,failure_discovery,static,SUT-A,0,16,8,cutin:g=24.65300908:dv=0.21819262:mode=fast_intrusion,baseline,0,False,False,0
Random-within-SUT,Random-within-SUT,failure_discovery,static,SUT-A,0,17,57,cutin:g=30.41068830:dv=-3.47422294:mode=cutin_braking,baseline,0,False,False,0
Random-within-SUT,Random-within-SUT,failure_discovery,static,SUT-A,0,18,9,cutin:g=17.79689663:dv=-5.16711531:mode=fast_intrusion,baseline,0,False,False,0
Random-within-SUT,Random-within-SUT,failure_discovery,static,SUT-A,0,19,27,cutin:g=24.77487856:dv=-2.77072519:mode=cutin_braking,baseline,0,False,False,0
Random-within-SUT,Random-within-SUT,failure_discovery,static,SUT-A,0,20,70,cutin:g=31.72682296:dv=-5.12588299:mode=lead_braking,baseline,0,False,False,0
Nearest-Failure-global-within-SUT,Nearest-Failure-global-within-SUT,failure_discovery,static,SUT-A,0,1,24,cutin:g=9.59552919:dv=-4.18652379:mode=fast_intrusion,baseline,0,True,True,1
Nearest-Failure-global-within-SUT,Nearest-Failure-global-within-SUT,failure_discovery,static,SUT-A,0,2,2,cutin:g=7.86307343:dv=0.90561993:mode=fast_intrusion,baseline,0,False,False,1
Nearest-Failure-global-within-SUT,Nearest-Failure-global-within-SUT,failure_discovery,static,SUT-A,0,3,37,cutin:g=6.29952164:dv=-5.50697740:mode=cutin_braking,baseline,0,True,True,2
Nearest-Failure-global-within-SUT,Nearest-Failure-global-within-SUT,failure_discovery,static,SUT-A,0,4,3,cutin:g=14.32100685:dv=-7.53667253:mode=fast_intrusion,baseline,0,True,True,3
Nearest-Failure-global-within-SUT,Nearest-Failure-global-within-SUT,failure_discovery,static,SUT-A,0,5,32,cutin:g=11.98424452:dv=-7.42638251:mode=cutin_braking,baseline,0,True,True,4
Nearest-Failure-global-within-SUT,Nearest-Failure-global-within-SUT,failure_discovery,static,SUT-A,0,6,44,cutin:g=7.41312334:dv=-6.92028752:mode=cutin_braking,baseline,0,True,True,5
Nearest-Failure-global-within-SUT,Nearest-Failure-global-within-SUT,failure_discovery,static,SUT-A,0,7,38,cutin:g=20.19012235:dv=-7.10056804:mode=cutin_braking,baseline,0,True,True,6
Nearest-Failure-global-within-SUT,Nearest-Failure-global-within-SUT,failure_discovery,static,SUT-A,0,8,72,cutin:g=11.37544668:dv=-3.29333447:mode=lead_braking,baseline,0,False,True,6
Nearest-Failure-global-within-SUT,Nearest-Failure-global-within-SUT,failure_discovery,static,SUT-A,0,9,47,cutin:g=13.45524140:dv=-4.85867567:mode=cutin_braking,baseline,0,True,True,7
Nearest-Failure-global-within-SUT,Nearest-Failure-global-within-SUT,failure_discovery,static,SUT-A,0,10,66,cutin:g=7.07997788:dv=-5.21698626:mode=lead_braking,baseline,0,True,True,8
Nearest-Failure-global-within-SUT,Nearest-Failure-global-within-SUT,failure_discovery,static,SUT-A,0,11,80,cutin:g=21.06598114:dv=-6.61710449:mode=lead_braking,baseline,0,False,True,8
Nearest-Failure-global-within-SUT,Nearest-Failure-global-within-SUT,failure_discovery,static,SUT-A,0,12,46,cutin:g=6.70943486:dv=-2.91729013:mode=cutin_braking,baseline,0,True,True,9
Nearest-Failure-global-within-SUT,Nearest-Failure-global-within-SUT,failure_discovery,static,SUT-A,0,13,90,cutin:g=16.49597243:dv=-6.90050321:mode=lead_braking,baseline,0,True,True,10
Nearest-Failure-global-within-SUT,Nearest-Failure-global-within-SUT,failure_discovery,static,SUT-A,0,14,45,cutin:g=21.30260579:dv=-5.99060746:mode=cutin_braking,baseline,0,False,False,10
Nearest-Failure-global-within-SUT,Nearest-Failure-global-within-SUT,failure_discovery,static,SUT-A,0,15,40,cutin:g=10.19486166:dv=-3.46436394:mode=cutin_braking,baseline,0,True,True,11
Nearest-Failure-global-within-SUT,Nearest-Failure-global-within-SUT,failure_discovery,static,SUT-A,0,16,64,cutin:g=10.17529029:dv=-2.77229959:mode=lead_braking,baseline,0,False,True,11
Nearest-Failure-global-within-SUT,Nearest-Failure-global-within-SUT,failure_discovery,static,SUT-A,0,17,54,cutin:g=18.37679865:dv=-5.11864611:mode=cutin_braking,baseline,0,False,True,11
Nearest-Failure-global-within-SUT,Nearest-Failure-global-within-SUT,failure_discovery,static,SUT-A,0,18,63,cutin:g=15.16678937:dv=-5.63481290:mode=lead_braking,baseline,0,True,True,12
Nearest-Failure-global-within-SUT,Nearest-Failure-global-within-SUT,failure_discovery,static,SUT-A,0,19,21,cutin:g=16.47446283:dv=-5.55743275:mode=fast_intrusion,baseline,0,False,False,12
Nearest-Failure-global-within-SUT,Nearest-Failure-global-within-SUT,failure_discovery,static,SUT-A,0,20,87,cutin:g=9.49027769:dv=-5.93436483:mode=lead_braking,baseline,0,True,True,13
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,1,1,24,cutin:g=6.81390808:dv=-1.72524278:mode=fast_intrusion,baseline,0,True,True,1
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,1,2,113,cutin:g=15.61763472:dv=-7.91977279:mode=cutin_braking,baseline,0,True,True,2
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,1,3,151,cutin:g=23.33239422:dv=-6.04177342:mode=lead_braking,baseline,0,False,False,2
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,1,4,0,cutin:g=10.46185657:dv=-2.70065851:mode=fast_intrusion,baseline,0,False,True,2
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,1,5,121,cutin:g=18.37679865:dv=-5.11864611:mode=cutin_braking,baseline,0,False,True,2
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,1,6,99,cutin:g=32.57309414:dv=-6.68238647:mode=cutin_braking,baseline,0,False,False,2
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,1,7,109,cutin:g=13.45524140:dv=-4.85867567:mode=cutin_braking,baseline,0,True,True,3
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,1,8,165,cutin:g=11.68671749:dv=-4.53010453:mode=lead_braking,baseline,0,True,True,4
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,1,9,23,cutin:g=8.95406621:dv=-3.47608483:mode=fast_intrusion,baseline,0,True,True,5
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,1,10,63,cutin:g=9.59552919:dv=-4.18652379:mode=fast_intrusion,baseline,0,True,True,6
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,1,11,101,cutin:g=7.41312334:dv=-6.92028752:mode=cutin_braking,baseline,0,True,True,7
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,1,12,143,cutin:g=27.90143384:dv=-7.47720103:mode=lead_braking,baseline,0,False,False,7
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,1,13,145,cutin:g=19.73761162:dv=-7.85120456:mode=lead_braking,baseline,0,True,True,8
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,1,14,40,cutin:g=8.62526678:dv=-2.14156740:mode=fast_intrusion,baseline,0,False,True,8
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,1,15,138,cutin:g=10.17529029:dv=-2.77229959:mode=lead_braking,baseline,0,False,True,8
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,1,16,69,cutin:g=9.29587863:dv=-5.28977609:mode=cutin_braking,baseline,0,True,True,9
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,1,17,161,cutin:g=21.06598114:dv=-6.61710449:mode=lead_braking,baseline,0,False,True,9
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,1,18,55,cutin:g=7.54585820:dv=-7.77327215:mode=fast_intrusion,baseline,0,True,True,10
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,1,19,185,cutin:g=16.49597243:dv=-6.90050321:mode=lead_braking,baseline,0,True,True,11
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,1,20,89,cutin:g=20.19012235:dv=-7.10056804:mode=cutin_braking,baseline,0,True,True,12
Random,Random,failure_discovery,static,SUT-A,1,1,131,cutin:g=33.88375814:dv=-6.52923966:mode=lead_braking,baseline,0,False,False,0
