method,target_sut,seed,checkpoint,selected_count,failure_count,failure_ratio,recall,critical_count
Nearest-Failure-global-within-SUT,SUT-A,11,20,20,13,0.65,0.8125,17
DETOUR-static,SUT-A,12,5,5,3,0.6,0.09090909090909091,3
DETOUR-static,SUT-A,12,10,10,7,0.7,0.21212121212121213,8
DETOUR-static,SUT-A,12,20,20,12,0.6,0.36363636363636365,14
Random,SUT-A,12,5,5,0,0.0,0.0,0
Random,SUT-A,12,10,10,1,0.1,0.030303030303030304,1
Random,SUT-A,12,20,20,1,0.05,0.030303030303030304,1
Nearest-Failure-global,SUT-A,12,5,5,2,0.4,0.06060606060606061,4
Nearest-Failure-global,SUT-A,12,10,10,5,0.5,0.15151515151515152,7
Nearest-Failure-global,SUT-A,12,20,20,10,0.5,0.30303030303030304,13
DETOUR-within-SUT-static,SUT-A,12,5,5,4,0.8,0.25,5
DETOUR-within-SUT-static,SUT-A,12,10,10,8,0.8,0.5,9
DETOUR-within-SUT-static,SUT-A,12,20,20,12,0.6,0.75,14
Random-within-SUT,SUT-A,12,5,5,1,0.2,0.0625,1
Random-within-SUT,SUT-A,12,10,10,3,0.3,0.1875,3
Random-within-SUT,SUT-A,12,20,20,4,0.2,0.25,5
Nearest-Failure-global-within-SUT,SUT-A,12,5,5,4,0.8,0.25,4
Nearest-Failure-global-within-SUT,SUT-A,12,10,10,8,0.8,0.5,9
Nearest-Failure-global-within-SUT,SUT-A,12,20,20,13,0.65,0.8125,17
DETOUR-static,SUT-A,13,5,5,3,0.6,0.09090909090909091,4
DETOUR-static,SUT-A,13,10,10,6,0.6,0.18181818181818182,7
DETOUR-static,SUT-A,13,20,20,13,0.65,0.3939393939393939,14
Random,SUT-A,13,5,5,1,0.2,0.030303030303030304,1
Random,SUT-A,13,10,10,1,0.1,0.030303030303030304,2
Random,SUT-A,13,20,20,3,0.15,0.09090909090909091,4
Nearest-Failure-global,SUT-A,13,5,5,2,0.4,0.06060606060606061,4
Nearest-Failure-global,SUT-A,13,10,10,5,0.5,0.15151515151515152,7
Nearest-Failure-global,SUT-A,13,20,20,10,0.5,0.30303030303030304,13
DETOUR-within-SUT-static,SUT-A,13,5,5,3,0.6,0.1875,4
DETOUR-within-SUT-static,SUT-A,13,10,10,6,0.6,0.375,8
DETOUR-within-SUT-static,SUT-A,13,20,20,9,0.45,0.5625,12
Random-within-SUT,SUT-A,13,5,5,1,0.2,0.0625,2
Random-within-SUT,SUT-A,13,10,10,1,0.1,0.0625,5
Random-within-SUT,SUT-A,13,20,20,2,0.1,0.125,8
Nearest-Failure-global-within-SUT,SUT-A,13,5,5,4,0.8,0.25,4
Nearest-Failure-global-within-SUT,SUT-A,13,10,10,8,0.8,0.5,9
Nearest-Failure-global-within-SUT,SUT-A,13,20,20,13,0.65,0.8125,17
DETOUR-static,SUT-A,14,5,5,3,0.6,0.09090909090909091,4
DETOUR-static,SUT-A,14,10,10,7,0.7,0.21212121212121213,9
DETOUR-static,SUT-A,14,20,20,12,0.6,0.36363636363636365,15
Random,SUT-A,14,5,5,0,0.0,0.0,0
Random,SUT-A,14,10,10,0,0.0,0.0,0
Random,SUT-A,14,20,20,0,0.0,0.0,1
Nearest-Failure-global,SUT-A,14,5,5,2,0.4,0.06060606060606061,4
Nearest-Failure-global,SUT-A,14,10,10,5,0.5,0.15151515151515152,7
Nearest-Failure-global,SUT-A,14,20,20,10,0.5,0.30303030303030304,13
DETOUR-within-SUT-static,SUT-A,14,5,5,4,0.8,0.25,4
DETOUR-within-SUT-static,SUT-A,14,10,10,8,0.8,0.5,9
DETOUR-within-SUT-static,SUT-A,14,20,20,12,0.6,0.75,15
Random-within-SUT,SUT-A,14,5,5,0,0.0,0.0,3
Random-within-SUT,SUT-A,14,10,10,1,0.1,0.0625,4
Random-within-SUT,SUT-A,14,20,20,3,0.15,0.1875,6
Nearest-Failure-global-within-SUT,SUT-A,14,5,5,4,0.8,0.25,4
Nearest-Failure-global-within-SUT,SUT-A,14,10,10,8,0.8,0.5,9
Nearest-Failure-global-within-SUT,SUT-A,14,20,20,13,0.65,0.8125,17
DETOUR-static,SUT-A,15,5,5,3,0.6,0.09090909090909091,3
DETOUR-static,SUT-A,15,10,10,5,0.5,0.15151515151515152,6
DETOUR-static,SUT-A,15,20,20,13,0.65,0.3939393939393939,16
Random,SUT-A,15,5,5,1,0.2,0.030303030303030304,1
Random,SUT-A,15,10,10,2,0.2,0.06060606060606061,2
Random,SUT-A,15,20,20,4,0.2,0.12121212121212122,4
Nearest-Failure-global,SUT-A,15,5,5,2,0.4,0.06060606060606061,4
Nearest-Failure-global,SUT-A,15,10,10,5,0.5,0.15151515151515152,7
Nearest-Failure-global,SUT-A,15,20,20,10,0.5,0.30303030303030304,13
DETOUR-within-SUT-static,SUT-A,15,5,5,4,0.8,0.25,5
DETOUR-within-SUT-static,SUT-A,15,10,10,8,0.8,0.5,10
DETOUR-within-SUT-static,SUT-A,15,20,20,11,0.55,0.6875,14
Random-within-SUT,SUT-A,15,5,5,1,0.2,0.0625,1
Random-within-SUT,SUT-A,15,10,10,2,0.2,0.125,3
Random-within-SUT,SUT-A,15,20,20,4,0.2,0.25,5
Nearest-Failure-global-within-SUT,SUT-A,15,5,5,4,0.8,0.25,4
Nearest-Failure-global-within-SUT,SUT-A,15,10,10,8,0.8,0.5,9
Nearest-Failure-global-within-SUT,SUT-A,15,20,20,13,0.65,0.8125,17
DETOUR-static,SUT-A,16,5,5,1,0.2,0.030303030303030304,3
DETOUR-static,SUT-A,16,10,10,6,0.6,0.18181818181818182,8
DETOUR-static,SUT-A,16,20,20,13,0.65,0.3939393939393939,16
Random,SUT-A,16,5,5,1,0.2,0.030303030303030304,1
Random,SUT-A,16,10,10,2,0.2,0.06060606060606061,2
Random,SUT-A,16,20,20,7,0.35,0.21212121212121213,7
Nearest-Failure-global,SUT-A,16,5,5,2,0.4,0.06060606060606061,4
Nearest-Failure-global,SUT-A,16,10,10,5,0.5,0.15151515151515152,7
Nearest-Failure-global,SUT-A,16,20,20,10,0.5,0.30303030303030304,13
DETOUR-within-SUT-static,SUT-A,16,5,5,5,1.0,0.3125,5
DETOUR-within-SUT-static,SUT-A,16,10,10,8,0.8,0.5,10
DETOUR-within-SUT-static,SUT-A,16,20,20,13,0.65,0.8125,16
Random-within-SUT,SUT-A,16,5,5,1,0.2,0.0625,1
Random-within-SUT,SUT-A,16,10,10,2,0.2,0.125,3
Random-within-SUT,SUT-A,16,20,20,4,0.2,0.25,5
Nearest-Failure-global-within-SUT,SUT-A,16,5,5,4,0.8,0.25,4
Nearest-Failure-global-within-SUT,SUT-A,16,10,10,8,0.8,0.5,9
Nearest-Failure-global-within-SUT,SUT-A,16,20,20,13,0.65,0.8125,17
DETOUR-static,SUT-A,17,5,5,2,0.4,0.06060606060606061,2
DETOUR-static,SUT-A,17,10,10,6,0.6,0.18181818181818182,6
DETOUR-static,SUT-A,17,20,20,10,0.5,0.30303030303030304,12
Random,SUT-A,17,5,5,1,0.2,0.030303030303030304,1
Random,SUT-A,17,10,10,3,0.3,0.09090909090909091,3
Random,SUT-A,17,20,20,6,0.3,0.18181818181818182,6
Nearest-Failure-global,SUT-A,17,5,5,2,0.4,0.06060606060606061,4
Nearest-Failure-global,SUT-A,17,10,10,5,0.5,0.15151515151515152,7
Nearest-Failure-global,SUT-A,17,20,20,10,0.5,0.30303030303030304,13
DETOUR-within-SUT-static,SUT-A,17,5,5,3,0.6,0.1875,3
DETOUR-within-SUT-static,SUT-A,17,10,10,5,0.5,0.3125,6
DETOUR-within-SUT-static,SUT-A,17,20,20,9,0.45,0.5625,12
Random-within-SUT,SUT-A,17,5,5,1,0.2,0.0625,1
Random-within-SUT,SUT-A,17,10,10,2,0.2,0.125,2
Random-within-SUT,SUT-A,17,20,20,2,0.1,0.125,3
Nearest-Failure-global-within-SUT,SUT-A,17,5,5,4,0.8,0.25,4
Nearest-Failure-global-within-SUT,SUT-A,17,10,10,8,0.8,0.5,9
Nearest-Failure-global-within-SUT,SUT-A,17,20,20,13,0.65,0.8125,17
DETOUR-static,SUT-A,18,5,5,2,0.4,0.06060606060606061,4
DETOUR-static,SUT-A,18,10,10,5,0.5,0.15151515151515152,7
DETOUR-static,SUT-A,18,20,20,9,0.45,0.2727272727272727,13
Random,SUT-A,18,5,5,1,0.2,0.030303030303030304,3
Random,SUT-A,18,10,10,3,0.3,0.09090909090909091,5
Random,SUT-A,18,20,20,3,0.15,0.09090909090909091,5
Nearest-Failure-global,SUT-A,18,5,5,2,0.4,0.06060606060606061,4
Nearest-Failure-global,SUT-A,18,10,10,5,0.5,0.15151515151515152,7
Nearest-Failure-global,SUT-A,18,20,20,10,0.5,0.30303030303030304,13
DETOUR-within-SUT-static,SUT-A,18,5,5,4,0.8,0.25,4
DETOUR-within-SUT-static,SUT-A,18,10,10,7,0.7,0.4375,7
DETOUR-within-SUT-static,SUT-A,18,20,20,11,0.55,0.6875,14
Random-within-SUT,SUT-A,18,5,5,0,0.0,0.0,0
Random-within-SUT,SUT-A,18,10,10,1,0.1,0.0625,2
Random-within-SUT,SUT-A,18,20,20,2,0.1,0.125,4
Nearest-Failure-global-within-SUT,SUT-A,18,5,5,4,0.8,0.25,4
Nearest-Failure-global-within-SUT,SUT-A,18,10,10,8,0.8,0.5,9
Nearest-Failure-global-within-SUT,SUT-A,18,20,20,13,0.65,0.8125,17
DETOUR-static,SUT-A,19,5,5,4,0.8,0.12121212121212122,5
DETOUR-static,SUT-A,19,10,10,7,0.7,0.21212121212121213,8
DETOUR-static,SUT-A,19,20,20,12,0.6,0.36363636363636365,13
Random,SUT-A,19,5,5,0,0.0,0.0,0
Random,SUT-A,19,10,10,2,0.2,0.06060606060606061,3
Random,SUT-A,19,20,20,3,0.15,0.09090909090909091,4
