repeat,random_seed,protocol,variant,target_sut,executions,collisions,critical_events,first_collision_budget,first_collision_censored,invalid_executions,empty_filters,candidate_attempts,precheck_passed,unique_candidates,sem_above_threshold,duplicate_executions,duplicate_execution_ratio,simulation_seconds,simulation_wall_seconds,candidate_generation_seconds,sem_inference_seconds,collisions_per_simulation_minute,wall_seconds
1,20260918,paper_nm,RMS-H,SUT-D,20,3,8,7,False,0,0,27,27,27,0,0,0.0,128.40000000000003,5.501645800017286,0.0017738000024110079,2.6000052457675338e-06,1.4018691588785044,5.697017600003164
1,20260918,paper_nm,2SMS-H,SUT-D,20,4,4,1,False,0,0,27,27,27,0,0,0.0,118.4,4.745621400026721,0.0019257000094512478,2.8999493224546313e-06,2.027027027027027,4.948273300004075
1,20260918,paper_nm,RMS+SEM-H,SUT-D,20,20,20,1,False,0,0,2000,2000,2000,394,0,0.0,35.2,1.6926257999439258,0.0886923999642022,0.617415400018217,34.09090909090909,2.6610203000018373
1,20260918,paper_nm,2SMS+SEM-H,SUT-D,20,20,20,1,False,0,0,2000,2000,2000,377,0,0.0,36.20000000000001,1.2803162000054726,0.06240120001893956,0.5201214999688091,33.14917127071822,2.0797211000026437
1,20260918,matched_nm100,RMS-H,SUT-D,20,9,9,1,False,0,0,1200,1200,1200,0,0,0.0,95.60000000000004,1.9080401999963215,0.018404899979941547,1.4300007023848593e-05,5.648535564853554,2.040691700007301
1,20260918,matched_nm100,2SMS-H,SUT-D,20,4,5,1,False,0,0,800,800,800,0,0,0.0,120.20000000000002,2.389037400003872,0.012535600006231107,2.3000029614195228e-06,1.9966722129783694,2.5140684999933
1,20260918,matched_nm100,RMS+SEM-H,SUT-D,20,20,20,1,False,0,0,2000,2000,2000,366,0,0.0,35.20000000000001,0.7720353000040632,0.030337100019096397,0.2668485999893164,34.090909090909086,1.2020441999920877
1,20260918,matched_nm100,2SMS+SEM-H,SUT-D,20,20,20,1,False,0,0,2000,2000,2000,392,0,0.0,35.6,0.7745250000443775,0.03024469998490531,0.2668944999895757,33.70786516853932,1.202146099996753
2,20260919,paper_nm,RMS-H,SUT-D,20,3,6,5,False,0,0,24,24,24,0,0,0.0,122.80000000000001,2.3815453999995952,0.00091559998691082,1.6999983927235007e-06,1.4657980456026056,2.4843718000047375
2,20260919,paper_nm,2SMS-H,SUT-D,20,4,9,4,False,0,0,27,27,27,0,0,0.0,124.60000000000001,2.4595967999775894,0.00114380000741221,2.2000021999701858e-06,1.926163723916533,2.563257000001613
2,20260919,paper_nm,RMS+SEM-H,SUT-D,20,20,20,1,False,0,0,2000,2000,2000,393,0,0.0,36.00000000000001,0.783762699982617,0.03118039999390021,0.2744152999803191,33.33333333333333,1.2221728000004077
2,20260919,paper_nm,2SMS+SEM-H,SUT-D,20,20,20,1,False,0,0,2000,2000,2000,391,0,0.0,34.60000000000001,0.7692795999755617,0.030805000045802444,0.26878330000909045,34.682080924855484,1.2000875000085216
