task_id,target_build,method,repeat,budget,effective_horizon,candidate_count,actual_queries,valid_results,failure_detected,first_failure_rank,failure_count,failure_pool_count,failure_recall,early_failure_recall_auc_20
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,3,20,20,104,20,20,True,2,12,65,0.18461538461538463,0.11076923076923077
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,4,1,20,104,1,1,True,1,1,65,0.015384615384615385,0.015384615384615385
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,4,5,20,104,5,5,True,1,4,65,0.06153846153846154,0.04
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,4,10,20,104,10,10,True,1,6,65,0.09230769230769231,0.06
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,4,20,20,104,20,20,True,1,13,65,0.2,0.10461538461538462
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,5,1,20,104,1,1,False,,0,65,0.0,0.0
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,5,5,20,104,5,5,True,2,2,65,0.03076923076923077,0.018461538461538463
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,5,10,20,104,10,10,True,2,4,65,0.06153846153846154,0.038461538461538464
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,5,20,20,104,20,20,True,2,10,65,0.15384615384615385,0.06999999999999999
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,6,1,20,104,1,1,False,,0,65,0.0,0.0
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,6,5,20,104,5,5,True,2,2,65,0.03076923076923077,0.02153846153846154
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,6,10,20,104,10,10,True,2,6,65,0.09230769230769231,0.04461538461538462
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,6,20,20,104,20,20,True,2,11,65,0.16923076923076924,0.09153846153846154
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,7,1,20,104,1,1,True,1,1,65,0.015384615384615385,0.015384615384615385
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,7,5,20,104,5,5,True,1,3,65,0.046153846153846156,0.024615384615384615
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,7,10,20,104,10,10,True,1,7,65,0.1076923076923077,0.05692307692307692
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,7,20,20,104,20,20,True,1,10,65,0.15384615384615385,0.09538461538461537
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,8,1,20,104,1,1,True,1,1,65,0.015384615384615385,0.015384615384615385
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,8,5,20,104,5,5,True,1,5,65,0.07692307692307693,0.046153846153846156
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,8,10,20,104,10,10,True,1,7,65,0.1076923076923077,0.06769230769230769
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,8,20,20,104,20,20,True,1,16,65,0.24615384615384617,0.12923076923076923
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,9,1,20,104,1,1,True,1,1,65,0.015384615384615385,0.015384615384615385
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,9,5,20,104,5,5,True,1,2,65,0.03076923076923077,0.02153846153846154
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,9,10,20,104,10,10,True,1,5,65,0.07692307692307693,0.04153846153846154
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,9,20,20,104,20,20,True,1,7,65,0.1076923076923077,0.07153846153846155
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,HistoryRank-UCB-v2,0,1,20,104,1,1,True,1,1,65,0.015384615384615385,0.015384615384615385
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,HistoryRank-UCB-v2,0,5,20,104,5,5,True,1,4,65,0.06153846153846154,0.033846153846153845
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,HistoryRank-UCB-v2,0,10,20,104,10,10,True,1,9,65,0.13846153846153847,0.07076923076923076
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,HistoryRank-UCB-v2,0,20,20,104,20,20,True,1,18,65,0.27692307692307694,0.14153846153846153
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,FailureDistance-v2,0,1,20,104,1,1,False,,0,65,0.0,0.0
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,FailureDistance-v2,0,5,20,104,5,5,True,3,3,65,0.046153846153846156,0.018461538461538463
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,FailureDistance-v2,0,10,20,104,10,10,True,3,8,65,0.12307692307692308,0.055384615384615386
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,FailureDistance-v2,0,20,20,104,20,20,True,3,18,65,0.27692307692307694,0.13153846153846155
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,FBRT-NoMemory,0,1,20,104,1,1,False,,0,65,0.0,0.0
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,FBRT-NoMemory,0,5,20,104,5,5,True,2,4,65,0.06153846153846154,0.03076923076923077
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,FBRT-NoMemory,0,10,20,104,10,10,True,2,9,65,0.13846153846153847,0.06923076923076923
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,FBRT-NoMemory,0,20,20,104,20,20,True,2,19,65,0.2923076923076923,0.14615384615384613
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,FBRT-Memory,0,1,20,104,1,1,True,1,1,65,0.015384615384615385,0.015384615384615385
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,FBRT-Memory,0,5,20,104,5,5,True,1,5,65,0.07692307692307693,0.046153846153846156
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,FBRT-Memory,0,10,20,104,10,10,True,1,9,65,0.13846153846153847,0.08307692307692308
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,FBRT-Memory,0,20,20,104,20,20,True,1,19,65,0.2923076923076923,0.15307692307692305
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,0,1,20,109,1,1,False,,0,12,0.0,0.0
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,0,5,20,109,5,5,False,,0,12,0.0,0.0
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,0,10,20,109,10,10,True,9,1,12,0.08333333333333333,0.016666666666666666
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,0,20,20,109,20,20,True,9,1,12,0.08333333333333333,0.05
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,1,1,20,109,1,1,False,,0,12,0.0,0.0
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,1,5,20,109,5,5,False,,0,12,0.0,0.0
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,1,10,20,109,10,10,True,10,1,12,0.08333333333333333,0.008333333333333333
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,1,20,20,109,20,20,True,10,1,12,0.08333333333333333,0.04583333333333334
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,2,1,20,109,1,1,False,,0,12,0.0,0.0
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,2,5,20,109,5,5,False,,0,12,0.0,0.0
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,2,10,20,109,10,10,True,7,1,12,0.08333333333333333,0.03333333333333333
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,2,20,20,109,20,20,True,7,1,12,0.08333333333333333,0.05833333333333333
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,3,1,20,109,1,1,False,,0,12,0.0,0.0
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,3,5,20,109,5,5,True,2,1,12,0.08333333333333333,0.06666666666666667
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,3,10,20,109,10,10,True,2,1,12,0.08333333333333333,0.075
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,3,20,20,109,20,20,True,2,2,12,0.16666666666666666,0.08333333333333333
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,4,1,20,109,1,1,False,,0,12,0.0,0.0
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,4,5,20,109,5,5,True,2,2,12,0.16666666666666666,0.11666666666666665
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,4,10,20,109,10,10,True,2,2,12,0.16666666666666666,0.14166666666666666
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,4,20,20,109,20,20,True,2,2,12,0.16666666666666666,0.15416666666666662
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,5,1,20,109,1,1,False,,0,12,0.0,0.0
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,5,5,20,109,5,5,False,,0,12,0.0,0.0
legacy_regression_seed4179802_merge_blind06,merge_blind06,Random,5,10,20,109,10,10,True,6,1,12,0.08333333333333333,0.041666666666666664
