target_profile,initial_gap,relative_speed,action,collision,near_miss,min_ttc,min_distance
AV-Predictive-Brake,26.0,-2.0,0,False,False,4.047003275929391,12.85381529414705
AV-Predictive-Brake,26.0,-2.0,1,False,False,16.74616191326767,18.767677261297123
AV-Predictive-Brake,26.0,-2.0,2,False,False,82.16042972644458,20.26932583497963
AV-Predictive-Brake,26.0,1.0,0,False,False,12.185849156322309,16.68323331018147
AV-Predictive-Brake,26.0,1.0,1,False,False,inf,20.367351063916782
AV-Predictive-Brake,26.0,1.0,2,False,False,inf,20.367351063916782
AV-Predictive-Brake,34.0,-8.0,0,False,False,2.919892663047775,14.01681703315511
AV-Predictive-Brake,34.0,-8.0,1,False,False,3.8845640988244243,18.052536964430676
AV-Predictive-Brake,34.0,-8.0,2,False,False,4.542268304236643,20.231126724000113
AV-Predictive-Brake,34.0,-5.0,0,False,False,3.836564316178158,16.69326731088285
AV-Predictive-Brake,34.0,-5.0,1,False,False,6.460457150617415,22.750909683180303
AV-Predictive-Brake,34.0,-5.0,2,False,False,9.502243309731224,24.882724298706783
AV-Predictive-Brake,34.0,-2.0,0,False,False,5.626260032296528,20.559725678520323
AV-Predictive-Brake,34.0,-2.0,1,False,False,20.234807540565637,26.535426702818867
AV-Predictive-Brake,34.0,-2.0,2,False,False,47.54837562684018,28.109901446990193
AV-Predictive-Brake,34.0,1.0,0,False,False,16.413761685076423,24.506430443652388
AV-Predictive-Brake,34.0,1.0,1,False,False,inf,28.291177509965003
AV-Predictive-Brake,34.0,1.0,2,False,False,inf,28.291177509965003
AV-Predictive-Brake,42.0,-8.0,0,False,False,3.558809466890448,16.427013079593305
AV-Predictive-Brake,42.0,-8.0,1,False,False,4.964229885957815,22.734723193418485
AV-Predictive-Brake,42.0,-8.0,2,False,False,5.756391780806291,25.161604187916147
AV-Predictive-Brake,42.0,-5.0,0,False,False,4.488948157463794,21.027430176505447
AV-Predictive-Brake,42.0,-5.0,1,False,False,8.03362574066082,28.562476172181675
AV-Predictive-Brake,42.0,-5.0,2,False,False,10.813771366489767,31.186388038267197
AV-Predictive-Brake,42.0,-2.0,0,False,False,7.204610877086744,26.531948422067682
AV-Predictive-Brake,42.0,-2.0,1,False,False,19.78680220387878,33.805632326381776
AV-Predictive-Brake,42.0,-2.0,2,False,False,39.003571514120054,35.81671382149386
AV-Predictive-Brake,42.0,1.0,0,False,False,16.72428343344661,31.61823157330688
AV-Predictive-Brake,42.0,1.0,1,False,False,inf,36.24442386553605
AV-Predictive-Brake,42.0,1.0,2,False,False,inf,36.24442386553605
