method,target_sut,repeat,mode,queries,critical_events_found,critical_events_available,critical_recall_at_50
Random,SUT-A,10,lead_braking,11,2,13,0.15384615384615385
Random,SUT-A,10,stop_and_go,9,2,11,0.18181818181818182
Random,SUT-A,10,slow_lead_following,9,0,6,0.0
Random,SUT-A,11,fast_intrusion,6,2,11,0.18181818181818182
Random,SUT-A,11,cutin_braking,12,1,10,0.1
Random,SUT-A,11,lead_braking,13,4,13,0.3076923076923077
Random,SUT-A,11,stop_and_go,11,2,11,0.18181818181818182
Random,SUT-A,11,slow_lead_following,8,1,6,0.16666666666666666
Random,SUT-A,12,fast_intrusion,11,3,11,0.2727272727272727
Random,SUT-A,12,cutin_braking,8,1,10,0.1
Random,SUT-A,12,lead_braking,10,2,13,0.15384615384615385
Random,SUT-A,12,stop_and_go,9,1,11,0.09090909090909091
Random,SUT-A,12,slow_lead_following,12,2,6,0.3333333333333333
Random,SUT-A,13,fast_intrusion,7,1,11,0.09090909090909091
Random,SUT-A,13,cutin_braking,8,3,10,0.3
Random,SUT-A,13,lead_braking,9,3,13,0.23076923076923078
Random,SUT-A,13,stop_and_go,10,2,11,0.18181818181818182
Random,SUT-A,13,slow_lead_following,16,2,6,0.3333333333333333
Random,SUT-A,14,fast_intrusion,12,1,11,0.09090909090909091
Random,SUT-A,14,cutin_braking,9,1,10,0.1
Random,SUT-A,14,lead_braking,11,3,13,0.23076923076923078
Random,SUT-A,14,stop_and_go,6,2,11,0.18181818181818182
Random,SUT-A,14,slow_lead_following,12,1,6,0.16666666666666666
Random,SUT-A,15,fast_intrusion,11,1,11,0.09090909090909091
Random,SUT-A,15,cutin_braking,12,2,10,0.2
Random,SUT-A,15,lead_braking,6,4,13,0.3076923076923077
Random,SUT-A,15,stop_and_go,17,5,11,0.45454545454545453
Random,SUT-A,15,slow_lead_following,4,0,6,0.0
Random,SUT-A,16,fast_intrusion,9,1,11,0.09090909090909091
Random,SUT-A,16,cutin_braking,11,3,10,0.3
Random,SUT-A,16,lead_braking,10,0,13,0.0
Random,SUT-A,16,stop_and_go,8,1,11,0.09090909090909091
Random,SUT-A,16,slow_lead_following,12,2,6,0.3333333333333333
Random,SUT-A,17,fast_intrusion,12,5,11,0.45454545454545453
Random,SUT-A,17,cutin_braking,8,2,10,0.2
