seed,target,method,query,candidate_index,original_index,mode,ego_collision,background_collision,near_miss,completed,min_ttc,min_clearance
20300905,idm_brake3,HistoryMargin-Static,12,277,533,slow_lead_following,False,False,False,True,2.2135761885388296,2.184125813096699
20300905,idm_brake3,HistoryMargin-Static,13,312,569,slow_lead_following,False,False,False,True,2.3869006695844144,3.367564667717133
20300905,idm_brake3,HistoryMargin-Static,14,225,417,stop_and_go,True,True,False,False,1.5125586201136494,0.0
20300905,idm_brake3,HistoryMargin-Static,15,82,147,cutin_braking,False,False,True,True,1.6950731347312888,0.11280543715093927
20300905,idm_brake3,HistoryMargin-Static,16,62,67,fast_intrusion,False,False,False,True,2.4069245757245015,2.137446037879286
20300905,idm_brake3,HistoryMargin-Static,17,293,549,slow_lead_following,False,False,False,True,2.4612777000315864,3.902382439726722
20300905,idm_brake3,HistoryMargin-Static,18,48,52,fast_intrusion,False,False,False,True,2.4311196610437693,3.283011956003321
20300905,idm_brake3,HistoryMargin-Static,19,270,526,slow_lead_following,False,False,False,True,2.535492629478094,3.28229716301891
20300905,idm_brake3,HistoryMargin-Static,20,63,68,fast_intrusion,False,False,False,True,2.5389057195664537,4.40110147523233
20300905,idm_brake3,HistoryMargin-Static,21,4,4,fast_intrusion,False,False,False,True,2.513601848072969,3.6246572527921614
20300905,idm_brake3,HistoryMargin-Static,22,241,433,stop_and_go,False,False,False,True,2.645375569819022,1.9842687607495435
20300905,idm_brake3,HistoryMargin-Static,23,289,545,slow_lead_following,False,False,False,True,2.6558031344182544,4.517892765433231
20300905,idm_brake3,HistoryMargin-Static,24,117,183,cutin_braking,False,False,True,True,1.6298364974782555,0.9915355295389929
20300905,idm_brake3,HistoryMargin-Static,25,265,521,slow_lead_following,False,False,False,True,2.6983553744315434,5.633403845131582
20300905,idm_brake3,HistoryMargin-Static,26,37,40,fast_intrusion,False,False,False,True,2.6785872436741567,5.4811776172419115
20300905,idm_brake3,HistoryMargin-Static,27,143,271,lead_braking,True,True,False,False,0.8720697380438178,0.0
20300905,idm_brake3,HistoryMargin-Static,28,105,171,cutin_braking,True,True,False,False,1.9119305353582678,2.842170943040401e-14
20300905,idm_brake3,HistoryMargin-Static,29,135,263,lead_braking,False,False,False,True,2.855414370527405,5.239435658707421
20300905,idm_brake3,HistoryMargin-Static,30,286,542,slow_lead_following,False,False,False,True,2.8657468388028606,5.117855440452445
