method,target_sut,repeat,critical_score_at_20,collision_count_at_20,failure_count_at_20,curve
Random,SUT-B,14,3.5,3,4,0.000;0.000;0.500;0.500;1.500;1.500;2.500;2.500;2.500;2.500;2.500;2.500;3.500;3.500;3.500;3.500;3.500;3.500;3.500;3.500
Random Support + Adaptation,SUT-B,14,13.0,10,16,0.000;0.000;0.000;0.000;1.000;1.500;2.500;3.500;4.500;5.000;6.000;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000
Random,SUT-B,15,2.5,2,3,0.000;0.000;1.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500
Random Support + Adaptation,SUT-B,15,13.0,10,16,0.000;0.000;0.000;0.000;1.000;1.500;2.500;3.500;4.500;5.000;6.000;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000
Random,SUT-B,16,3.5,3,4,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;2.000;2.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.500;3.500
Random Support + Adaptation,SUT-B,16,14.0,10,18,0.500;1.500;1.500;1.500;2.000;3.000;4.000;5.000;5.500;6.500;7.000;8.000;9.000;10.000;11.000;12.000;12.500;13.000;13.500;14.000
Random,SUT-B,17,2.0,2,2,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;2.000;2.000
Random Support + Adaptation,SUT-B,17,13.0,10,16,0.000;0.000;0.000;0.000;1.000;1.500;2.500;3.500;4.500;5.000;6.000;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000
Random,SUT-B,18,2.0,2,2,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;2.000
Random Support + Adaptation,SUT-B,18,13.0,10,16,0.000;0.000;0.000;0.000;1.000;1.500;2.500;3.500;4.500;5.000;6.000;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000
Random,SUT-B,19,1.5,1,2,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.500;1.500;1.500
Random Support + Adaptation,SUT-B,19,14.0,10,18,0.000;0.500;1.000;1.000;2.000;2.500;3.500;4.500;5.500;6.500;7.000;8.000;9.000;10.000;11.000;12.000;12.500;13.000;13.500;14.000
Shared Prior,SUT-C,0,20.0,20,20,1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;18.000;19.000;20.000
DIVA Diagnostic + Adaptation,SUT-C,0,18.5,18,19,1.000;1.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.500;14.500;15.500;16.500;17.500;18.500
Highest-Risk Support + Adaptation,SUT-C,0,20.0,20,20,1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;18.000;19.000;20.000
Random,SUT-C,0,3.5,3,4,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.500;0.500;1.500;1.500;2.500;3.500;3.500;3.500
Random Support + Adaptation,SUT-C,0,16.0,16,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000
Random,SUT-C,1,3.0,3,3,1.000;1.000;1.000;1.000;1.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;3.000;3.000;3.000;3.000
Random Support + Adaptation,SUT-C,1,16.0,16,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000
Random,SUT-C,2,6.0,5,7,1.000;1.000;1.000;1.000;2.000;2.000;2.000;2.000;2.000;3.000;3.000;3.500;4.500;4.500;5.000;5.000;5.000;6.000;6.000;6.000
Random Support + Adaptation,SUT-C,2,16.5,16,17,0.000;0.500;0.500;0.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.500;14.500;15.500;16.500
