seed,target_sut,coverage,heterogeneity,noise_scale,step,index,event_probability,predicted_severity
20261103,Target-exact-partial-2,exact,partial,0.3,19,526,1.0,0.8947412506077181
20261103,Target-exact-partial-2,exact,partial,0.3,20,518,1.0,0.8691075854318674
20261103,Target-exact-partial-2,exact,partial,0.3,21,286,1.0,0.85
20261103,Target-exact-partial-2,exact,partial,0.3,22,294,1.0,0.85
20261103,Target-exact-partial-2,exact,partial,0.3,23,298,1.0,0.85
20261103,Target-exact-partial-2,exact,partial,0.3,24,387,1.0,0.8499999999999999
20261103,Target-exact-partial-2,exact,partial,0.3,25,395,1.0,0.8499999999999999
20261103,Target-exact-partial-2,exact,partial,0.3,26,570,1.0,0.8499999999999999
20261103,Target-exact-partial-2,exact,partial,0.3,27,574,1.0,0.8499999999999999
20261103,Target-exact-partial-2,exact,partial,0.3,28,578,1.0,0.8499999999999999
20261103,Target-exact-partial-2,exact,partial,0.3,29,582,1.0,0.8499999999999999
20261103,Target-exact-partial-2,exact,partial,0.3,30,586,1.0,0.8499999999999999
20261103,Target-exact-partial-2,exact,partial,0.3,31,588,1.0,0.8499999999999999
20261103,Target-exact-partial-2,exact,partial,0.3,32,590,1.0,0.8499999999999999
20261103,Target-exact-partial-2,exact,partial,0.3,33,592,1.0,0.8499999999999999
20261103,Target-exact-partial-2,exact,partial,0.3,34,594,1.0,0.8499999999999999
20261103,Target-exact-partial-2,exact,partial,0.3,35,596,1.0,0.8499999999999999
20261103,Target-exact-partial-2,exact,partial,0.3,36,598,1.0,0.8499999999999999
20261103,Target-exact-partial-2,exact,partial,0.3,37,513,1.0,0.8387962960222124
20261103,Target-exact-partial-2,exact,partial,0.3,38,529,1.0,0.667485728801174
20261103,Target-exact-partial-2,exact,partial,0.3,39,399,1.0,0.6659064614990935
20261103,Target-exact-partial-2,exact,partial,0.3,40,391,1.0000000000000002,0.6375000000000001
20261103,Target-exact-partial-2,exact,partial,0.3,41,290,1.0,0.6375
20261103,Target-exact-partial-2,exact,partial,0.3,42,572,1.0,0.6375
20261103,Target-exact-partial-2,exact,partial,0.3,43,580,1.0,0.6375
20261103,Target-exact-partial-2,exact,partial,0.3,44,584,1.0,0.6375
20261103,Target-exact-partial-2,exact,partial,0.3,45,475,0.9999999999999999,0.9757220473407076
20261103,Target-exact-partial-2,exact,partial,0.3,46,483,1.0,0.9729758362931202
20261103,Target-exact-partial-2,exact,partial,0.3,47,419,1.0,0.9722943819879308
20261103,Target-exact-partial-2,exact,partial,0.3,48,471,1.0,0.9720079908042698
20261103,Target-exact-partial-2,exact,partial,0.3,49,479,1.0,0.9709665389409317
20261103,Target-exact-partial-2,exact,partial,0.3,50,435,1.0,0.9708161917255772
20261103,Target-exact-full-1,exact,full,0.3,1,487,1.0,0.9853312896884994
20261103,Target-exact-full-1,exact,full,0.3,2,495,1.0,0.9850987868164334
20261103,Target-exact-full-1,exact,full,0.3,3,87,1.0,0.9818305724516992
20261103,Target-exact-full-1,exact,full,0.3,4,491,1.0,0.9801745580621827
20261103,Target-exact-full-1,exact,full,0.3,5,502,1.0,0.9800182563051595
20261103,Target-exact-full-1,exact,full,0.3,6,499,1.0,0.9758434563530373
20261103,Target-exact-full-1,exact,full,0.3,7,475,1.0,0.975722033460543
20261103,Target-exact-full-1,exact,full,0.3,8,187,1.0,0.9733884698613895
20261103,Target-exact-full-1,exact,full,0.3,9,292,1.0,0.9579671145957582
20261103,Target-exact-full-1,exact,full,0.3,10,385,1.0,0.8911710245368362
20261103,Target-exact-full-1,exact,full,0.3,11,79,1.0,0.9742395474953294
20261103,Target-exact-full-1,exact,full,0.3,12,483,1.0,0.9729758136099702
20261103,Target-exact-full-1,exact,full,0.3,13,195,1.0,0.9729481348808535
20261103,Target-exact-full-1,exact,full,0.3,14,419,1.0,0.9722942141667152
20261103,Target-exact-full-1,exact,full,0.3,15,471,1.0,0.9720071826116152
20261103,Target-exact-full-1,exact,full,0.3,16,83,1.0,0.9719915623163164
20261103,Target-exact-full-1,exact,full,0.3,17,479,1.0,0.970965923708038
20261103,Target-exact-full-1,exact,full,0.3,18,435,1.0,0.9708143237903384
20261103,Target-exact-full-1,exact,full,0.3,19,99,1.0,0.967740961408897
20261103,Target-exact-full-1,exact,full,0.3,20,27,1.0,0.967699111391179
