subgroup,value,method,budget,seed_target_units,evaluable_units,mean_event_count,mean_event_prevalence,mean_critical_recall
mode,slow_lead_following,Function-Conditioned Mining,20,90,90,31.644444444444446,0.3164444444444445,0.3177570534150421
mode,slow_lead_following,Function-Conditioned Mining,30,90,90,31.644444444444446,0.3164444444444445,0.4596075096136223
mode,slow_lead_following,Function-Conditioned Mining,50,90,90,31.644444444444446,0.3164444444444445,0.6305411079705247
mode,slow_lead_following,Posterior Search (adaptive support),10,90,90,31.644444444444446,0.3164444444444445,0.14100960823363812
mode,slow_lead_following,Posterior Search (adaptive support),20,90,90,31.644444444444446,0.3164444444444445,0.24131380119934911
mode,slow_lead_following,Posterior Search (adaptive support),30,90,90,31.644444444444446,0.3164444444444445,0.31230749713027073
mode,slow_lead_following,Posterior Search (adaptive support),50,90,90,31.644444444444446,0.3164444444444445,0.4440409268917823
mode,passing_cutin,Random,10,90,90,26.211111111111112,0.26211111111111113,0.015710915282785065
mode,passing_cutin,Random,20,90,90,26.211111111111112,0.26211111111111113,0.032117182538387024
mode,passing_cutin,Random,30,90,90,26.211111111111112,0.26211111111111113,0.04870847887248944
mode,passing_cutin,Random,50,90,90,26.211111111111112,0.26211111111111113,0.08161948509160685
mode,passing_cutin,DETOUR,10,90,90,26.211111111111112,0.26211111111111113,0.060637166295039575
mode,passing_cutin,DETOUR,20,90,90,26.211111111111112,0.26211111111111113,0.1488192350570983
mode,passing_cutin,DETOUR,30,90,90,26.211111111111112,0.26211111111111113,0.16626583076592813
mode,passing_cutin,DETOUR,50,90,90,26.211111111111112,0.26211111111111113,0.2296038817587943
mode,passing_cutin,Mining,10,90,90,26.211111111111112,0.26211111111111113,0.02106798914666156
mode,passing_cutin,Mining,20,90,90,26.211111111111112,0.26211111111111113,0.038038893893456036
mode,passing_cutin,Mining,30,90,90,26.211111111111112,0.26211111111111113,0.06910979108237608
mode,passing_cutin,Mining,50,90,90,26.211111111111112,0.26211111111111113,0.11680866053942061
mode,passing_cutin,Mining-DETOUR,10,90,90,26.211111111111112,0.26211111111111113,0.020719804457391598
mode,passing_cutin,Mining-DETOUR,20,90,90,26.211111111111112,0.26211111111111113,0.03793762278443299
mode,passing_cutin,Mining-DETOUR,30,90,90,26.211111111111112,0.26211111111111113,0.06909948813449664
