target_sut,rank,scenario_index,scenario_id,mode,predicted_score,collision_offline
SUT-D,43,111,scenario-d3f736c0f748bb5b,cutin_braking,0.43156862258911133,1
SUT-D,44,21,scenario-6b310f1795a31eec,fast_intrusion,0.4273782968521118,1
SUT-D,45,177,scenario-c816188f13699b1a,lead_braking,0.398410439491272,1
SUT-D,46,149,scenario-dda7c8cf94b7fe38,lead_braking,0.3882013261318207,0
SUT-D,47,121,scenario-66c58d9a4d79dcb8,cutin_braking,0.38285622000694275,1
SUT-D,48,19,scenario-fd8a7d3791406dfd,fast_intrusion,0.3768230974674225,0
SUT-D,49,138,scenario-58a1e1a3ae8daaca,lead_braking,0.3121962249279022,0
SUT-D,50,169,scenario-ff11a0c0ee6600c9,lead_braking,0.2987443208694458,1
SUT-D,51,83,scenario-58e09f5375f2247d,cutin_braking,0.26894259452819824,1
SUT-D,52,27,scenario-71d3d263850a2deb,fast_intrusion,0.25636017322540283,0
SUT-D,53,61,scenario-54ee2e347b15bf17,fast_intrusion,0.23795242607593536,0
SUT-D,54,103,scenario-b61911044bf78287,cutin_braking,0.21415011584758759,1
SUT-D,55,119,scenario-733ef7ec6f0ec3cd,cutin_braking,0.20252874493598938,1
SUT-D,56,162,scenario-3d68fcb47379492e,lead_braking,0.19801472127437592,0
SUT-D,57,24,scenario-c3bc54eadb8f4558,fast_intrusion,0.18537230789661407,1
SUT-D,58,90,scenario-3378193cffc16f8e,cutin_braking,0.16666437685489655,0
SUT-D,59,37,scenario-a311418630d7f0fd,fast_intrusion,0.15258710086345673,0
SUT-D,60,95,scenario-54217bcde54af88f,cutin_braking,0.14597459137439728,0
SUT-D,61,99,scenario-ce1be553b2aff244,cutin_braking,0.1456242799758911,0
SUT-D,62,40,scenario-4c43b69c194879c3,fast_intrusion,0.13767185807228088,0
SUT-D,63,191,scenario-a5374fc8d99cede9,lead_braking,0.1368320882320404,0
SUT-D,64,0,scenario-469842c2c23d5d92,fast_intrusion,0.13492271304130554,0
SUT-D,65,41,scenario-19fb78e9323e61ec,fast_intrusion,0.12450814992189407,0
SUT-D,66,123,scenario-42789dcf0bdaa138,cutin_braking,0.12117981910705566,0
SUT-D,67,51,scenario-ba2d6c9bd4c97493,fast_intrusion,0.10471770912408829,0
SUT-D,68,66,scenario-695cad6feff6ca6f,cutin_braking,0.10112270712852478,0
SUT-D,69,5,scenario-da913b98726077cb,fast_intrusion,0.09627086669206619,0
SUT-D,70,146,scenario-d98233bd2ea1b245,lead_braking,0.09352138638496399,0
SUT-D,71,13,scenario-f1349e6a9cf068e3,fast_intrusion,0.09131930768489838,0
SUT-D,72,131,scenario-16d47cedaa3163a5,lead_braking,0.09042055159807205,0
SUT-D,73,97,scenario-82f938491e4c71b2,cutin_braking,0.09019681066274643,0
SUT-D,74,74,scenario-babecb5f1fcebd99,cutin_braking,0.08874769508838654,1
SUT-D,75,175,scenario-fb9812b8a8e4dc75,lead_braking,0.08012284338474274,0
SUT-D,76,73,scenario-4c45c4ed2f1dff5e,cutin_braking,0.07180730253458023,0
SUT-D,77,75,scenario-61467c0e09ecf1a8,cutin_braking,0.07084809988737106,0
SUT-D,78,79,scenario-b6543b652aa39e42,cutin_braking,0.07074654847383499,0
SUT-D,79,100,scenario-9a4003ca1c7bde4b,cutin_braking,0.06744762510061264,0
SUT-D,80,76,scenario-5c51a52129f21a06,cutin_braking,0.06668555736541748,0
SUT-D,81,84,scenario-05cbbadcd693c29e,cutin_braking,0.06646400690078735,0
SUT-D,82,68,scenario-b9a4766c3f47f8dc,cutin_braking,0.06606446951627731,0
SUT-D,83,112,scenario-85f7b90d87046890,cutin_braking,0.06568943709135056,0
SUT-D,84,108,scenario-d3b4c179a8162638,cutin_braking,0.06545675545930862,0
SUT-D,85,64,scenario-af0947c04f45c4e3,cutin_braking,0.06538007408380508,0
SUT-D,86,88,scenario-c659b7906bc44c9f,cutin_braking,0.06535109132528305,0
SUT-D,87,124,scenario-d39724a06bc9dabd,cutin_braking,0.0652197077870369,0
SUT-D,88,116,scenario-94f4428c8adaf474,cutin_braking,0.06515580415725708,0
SUT-D,89,104,scenario-703edd2c006752b8,cutin_braking,0.06495311111211777,0
SUT-D,90,92,scenario-c1f8ba30e4945a87,cutin_braking,0.06456024944782257,0
SUT-D,91,91,scenario-6df57cd4c70f6c79,cutin_braking,0.06439004838466644,0
SUT-D,92,107,scenario-8692f5914255a749,cutin_braking,0.06421785056591034,0
SUT-D,93,80,scenario-26ddcb03b669f629,cutin_braking,0.06410940736532211,0
SUT-D,94,155,scenario-4b01d410c83c7d9b,lead_braking,0.0639030933380127,0
SUT-D,95,67,scenario-aade0901ee82cbb2,cutin_braking,0.06386100500822067,0
SUT-D,96,115,scenario-d95f35794576a733,cutin_braking,0.06379982829093933,0
SUT-D,97,118,scenario-e6a04a57353f5b64,cutin_braking,0.06355069577693939,0
SUT-D,98,96,scenario-086c0ac462d24be0,cutin_braking,0.06346185505390167,0
SUT-D,99,70,scenario-912c00ba281b2139,cutin_braking,0.06339763104915619,0
