method,budget,repeat,round,position,accepted_index,loss,candidate_evaluations,elapsed_seconds,event
FST-Similarity-H,20,0,1,2,109,0.003488004207611084,520,0.6122107999981381,accepted
FST-Similarity-H,20,0,1,3,97,0.003423750400543213,693,0.6953711999813095,accepted
FST-Similarity-H,20,0,1,4,-1,0.003423750400543213,866,0.7816939999756869,no_change
FST-Similarity-H,20,0,1,5,137,0.0029044002294540405,1039,0.9397734999947716,accepted
FST-Similarity-H,20,0,1,6,0,0.0025012046098709106,1212,1.2386362999968696,accepted
FST-Similarity-H,20,0,1,7,89,0.0020473897457122803,1385,1.3398349999915808,accepted
FST-Similarity-H,20,0,1,8,173,0.001425664871931076,1558,1.413988899992546,accepted
FST-Similarity-H,20,0,1,9,-1,0.001425664871931076,1731,1.488085199991474,no_change
FST-Similarity-H,20,0,1,10,-1,0.001425664871931076,1904,1.5622232999885455,no_change
FST-Similarity-H,20,0,1,11,153,0.0014168843626976013,2077,1.6365027999854647,accepted
FST-Similarity-H,20,0,1,12,65,0.001398324966430664,2250,1.7114933999837376,accepted
FST-Similarity-H,20,0,1,13,11,0.0008465498685836792,2423,1.7864812999905553,accepted
FST-Similarity-H,20,0,1,14,-1,0.0008465498685836792,2596,1.8606709000014234,no_change
FST-Similarity-H,20,0,1,15,-1,0.0008465498685836792,2769,1.942788299988024,no_change
FST-Similarity-H,20,0,1,16,-1,0.0008465498685836792,2942,2.0239102999912575,no_change
FST-Similarity-H,20,0,1,17,-1,0.0008465498685836792,3115,2.1728631999867503,no_change
FST-Similarity-H,20,0,1,18,131,0.0007009357213973999,3288,2.496919599972898,accepted
FST-Similarity-H,20,0,1,19,-1,0.0007009357213973999,3461,2.5981172999890987,no_change
FST-Similarity-H,20,0,2,0,-1,0.0007009357213973999,3634,2.6783177999895997,no_change
FST-Similarity-H,20,0,2,1,-1,0.0007009357213973999,3807,2.7711119999876246,no_change
FST-Similarity-H,20,0,2,2,-1,0.0007009357213973999,3980,2.860186199977761,no_change
FST-Similarity-H,20,0,2,3,-1,0.0007009357213973999,4153,3.0054325999808498,no_change
FST-Similarity-H,20,0,2,4,-1,0.0007009357213973999,4326,3.382155799976317,no_change
FST-Similarity-H,20,0,2,5,-1,0.0007009357213973999,4499,3.4840623999771196,no_change
FST-Similarity-H,20,0,2,6,-1,0.0007009357213973999,4672,3.5630621999735013,no_change
FST-Similarity-H,20,0,2,7,-1,0.0007009357213973999,4845,3.638037799973972,no_change
FST-Similarity-H,20,0,2,8,-1,0.0007009357213973999,5018,3.7168016999785323,no_change
FST-Similarity-H,20,0,2,9,-1,0.0007009357213973999,5191,3.7950245999963954,no_change
FST-Similarity-H,20,0,2,10,-1,0.0007009357213973999,5364,3.8723354999965522,no_change
FST-Similarity-H,20,0,2,11,-1,0.0007009357213973999,5537,3.952061699994374,no_change
FST-Similarity-H,20,0,2,12,-1,0.0007009357213973999,5710,4.028408699989086,no_change
FST-Similarity-H,20,0,2,13,-1,0.0007009357213973999,5883,4.130539599980693,no_change
FST-Similarity-H,20,0,2,14,-1,0.0007009357213973999,6056,4.2315996999968775,no_change
FST-Similarity-H,20,0,2,15,-1,0.0007009357213973999,6229,4.3124861999822315,no_change
FST-Similarity-H,20,0,2,16,-1,0.0007009357213973999,6402,4.389263799996115,no_change
FST-Similarity-H,20,0,2,17,-1,0.0007009357213973999,6575,4.4665425999846775,no_change
FST-Similarity-H,20,0,2,18,-1,0.0007009357213973999,6748,4.5444372999772895,no_change
FST-Similarity-H,20,0,2,19,-1,0.0007009357213973999,6921,4.619190500001423,no_change
NoSimilarity-Optimized,20,0,0,-1,-1,0.4052083333333334,1,0.0,initial
NoSimilarity-Optimized,20,0,1,0,1,0.35520833333333335,174,0.0001750999945215881,accepted
NoSimilarity-Optimized,20,0,1,1,2,0.31041666666666673,347,0.0002865999995265156,accepted
NoSimilarity-Optimized,20,0,1,2,3,0.2604166666666667,520,0.00038400001358240843,accepted
NoSimilarity-Optimized,20,0,1,3,-1,0.2604166666666667,693,0.0004838000168092549,no_change
NoSimilarity-Optimized,20,0,1,4,4,0.2104166666666667,866,0.0005794000171590596,accepted
NoSimilarity-Optimized,20,0,1,5,5,0.20520833333333338,1039,0.000672199996188283,accepted
NoSimilarity-Optimized,20,0,1,6,6,0.178125,1212,0.0007596000214107335,accepted
NoSimilarity-Optimized,20,0,1,7,8,0.12812500000000002,1385,0.0008464000129606575,accepted
NoSimilarity-Optimized,20,0,1,8,-1,0.12812500000000002,1558,0.0009307000145781785,no_change
NoSimilarity-Optimized,20,0,1,9,9,0.07812500000000003,1731,0.0010152000177185982,accepted
NoSimilarity-Optimized,20,0,1,10,-1,0.07812500000000003,1904,0.001102200010791421,no_change
NoSimilarity-Optimized,20,0,1,11,-1,0.07812500000000003,2077,0.001186200010124594,no_change
NoSimilarity-Optimized,20,0,1,12,10,0.02812500000000004,2250,0.0012695000041276217,accepted
NoSimilarity-Optimized,20,0,1,13,-1,0.02812500000000004,2423,0.0013537000049836934,no_change
NoSimilarity-Optimized,20,0,1,14,71,0.021874999999999978,2596,0.0014378000050783157,accepted
NoSimilarity-Optimized,20,0,1,15,-1,0.021874999999999978,2769,0.0015219000051729381,no_change
NoSimilarity-Optimized,20,0,1,16,-1,0.021874999999999978,2942,0.0016076000174507499,no_change
NoSimilarity-Optimized,20,0,1,17,-1,0.021874999999999978,3115,0.001691600016783923,no_change
NoSimilarity-Optimized,20,0,1,18,-1,0.021874999999999978,3288,0.0017745000077411532,no_change
NoSimilarity-Optimized,20,0,1,19,-1,0.021874999999999978,3461,0.001858100004028529,no_change
NoSimilarity-Optimized,20,0,2,0,-1,0.021874999999999978,3634,0.0019515000167302787,no_change
NoSimilarity-Optimized,20,0,2,1,-1,0.021874999999999978,3807,0.002058400015812367,no_change
NoSimilarity-Optimized,20,0,2,2,-1,0.021874999999999978,3980,0.002156200003810227,no_change
NoSimilarity-Optimized,20,0,2,3,-1,0.021874999999999978,4153,0.0022490000119432807,no_change
NoSimilarity-Optimized,20,0,2,4,-1,0.021874999999999978,4326,0.002343000000109896,no_change
NoSimilarity-Optimized,20,0,2,5,-1,0.021874999999999978,4499,0.0024366000143345445,no_change
NoSimilarity-Optimized,20,0,2,6,-1,0.021874999999999978,4672,0.002525000018067658,no_change
NoSimilarity-Optimized,20,0,2,7,-1,0.021874999999999978,4845,0.002613699994981289,no_change
NoSimilarity-Optimized,20,0,2,8,-1,0.021874999999999978,5018,0.002705000020796433,no_change
NoSimilarity-Optimized,20,0,2,9,-1,0.021874999999999978,5191,0.0027977999998256564,no_change
NoSimilarity-Optimized,20,0,2,10,-1,0.021874999999999978,5364,0.0028904000064358115,no_change
NoSimilarity-Optimized,20,0,2,11,-1,0.021874999999999978,5537,0.0029830000130459666,no_change
NoSimilarity-Optimized,20,0,2,12,-1,0.021874999999999978,5710,0.003075400018133223,no_change
NoSimilarity-Optimized,20,0,2,13,-1,0.021874999999999978,5883,0.0031651000026613474,no_change
NoSimilarity-Optimized,20,0,2,14,-1,0.021874999999999978,6056,0.0032518000225536525,no_change
NoSimilarity-Optimized,20,0,2,15,-1,0.021874999999999978,6229,0.003345300006913021,no_change
NoSimilarity-Optimized,20,0,2,16,-1,0.021874999999999978,6402,0.003430700016906485,no_change
NoSimilarity-Optimized,20,0,2,17,-1,0.021874999999999978,6575,0.003517800010740757,no_change
NoSimilarity-Optimized,20,0,2,18,-1,0.021874999999999978,6748,0.0036080999998375773,no_change
NoSimilarity-Optimized,20,0,2,19,-1,0.021874999999999978,6921,0.003697200008900836,no_change
