method,budget,repeat,target_sut,estimate,target_mu,signed_error,absolute_error,relative_absolute_error,freeze_sha256
FST-RandomSet,5,5,SUT-E,0.05706764757633209,0.078125,-0.021057352423667908,0.021057352423667908,0.2695341110229492,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-RandomSet,5,5,SUT-F,0.34520114213228226,0.3489583333333333,-0.0037571912010510577,0.0037571912010510577,0.010766876277638853,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Handcrafted-Similarity,5,5,SUT-E,0.0,0.078125,-0.078125,0.078125,1.0,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Handcrafted-Similarity,5,5,SUT-F,0.5685005994175152,0.3489583333333333,0.21954226608418187,0.21954226608418187,0.6291360460919839,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-Similarity-H,5,5,SUT-E,0.05733726918697357,0.078125,-0.020787730813026428,0.020787730813026428,0.2660829544067383,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-Similarity-H,5,5,SUT-F,0.3603190407156944,0.3489583333333333,0.011360707382361113,0.011360707382361113,0.032556056976318415,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
NoSimilarity-Optimized,5,5,SUT-E,0.0,0.078125,-0.078125,0.078125,1.0,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
NoSimilarity-Optimized,5,5,SUT-F,0.6000000000000001,0.3489583333333333,0.2510416666666668,0.2510416666666668,0.7194029850746272,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
CMC,5,6,SUT-E,0.0,0.078125,-0.078125,0.078125,1.0,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
CMC,5,6,SUT-F,0.2,0.3489583333333333,-0.1489583333333333,0.1489583333333333,0.42686567164179096,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Uniform,5,6,SUT-E,0.2,0.078125,0.12187500000000001,0.12187500000000001,1.56,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Uniform,5,6,SUT-F,0.4,0.3489583333333333,0.05104166666666671,0.05104166666666671,0.14626865671641803,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
IS,5,6,SUT-E,0.03887076181018584,0.078125,-0.03925423818981416,0.03925423818981416,0.5024542488296213,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
IS,5,6,SUT-F,0.31354112521543515,0.3489583333333333,-0.03541720811789817,0.03541720811789817,0.10149408893487237,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-RandomSet,5,6,SUT-E,0.056226182729005814,0.078125,-0.021898817270994186,0.021898817270994186,0.2803048610687256,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-RandomSet,5,6,SUT-F,0.8880045376718044,0.3489583333333333,0.5390462043384712,0.5390462043384712,1.5447294213878577,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Handcrafted-Similarity,5,6,SUT-E,0.0,0.078125,-0.078125,0.078125,1.0,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Handcrafted-Similarity,5,6,SUT-F,0.38454590538031036,0.3489583333333333,0.035587572046977045,0.035587572046977045,0.10198229601521781,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-Similarity-H,5,6,SUT-E,0.05676626041531563,0.078125,-0.021358739584684372,0.021358739584684372,0.27339186668396,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-Similarity-H,5,6,SUT-F,0.4258907474577427,0.3489583333333333,0.07693241412440938,0.07693241412440938,0.22046303749084478,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
NoSimilarity-Optimized,5,6,SUT-E,0.0,0.078125,-0.078125,0.078125,1.0,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
NoSimilarity-Optimized,5,6,SUT-F,0.4,0.3489583333333333,0.05104166666666671,0.05104166666666671,0.14626865671641803,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
CMC,5,7,SUT-E,0.2,0.078125,0.12187500000000001,0.12187500000000001,1.56,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
CMC,5,7,SUT-F,0.4,0.3489583333333333,0.05104166666666671,0.05104166666666671,0.14626865671641803,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Uniform,5,7,SUT-E,0.0,0.078125,-0.078125,0.078125,1.0,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Uniform,5,7,SUT-F,0.2,0.3489583333333333,-0.1489583333333333,0.1489583333333333,0.42686567164179096,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
IS,5,7,SUT-E,0.07774152362037168,0.078125,-0.0003834763796283225,0.0003834763796283225,0.004908497659242528,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
IS,5,7,SUT-F,0.28175439020987336,0.3489583333333333,-0.06720394312345995,0.06720394312345995,0.19258443402543748,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-RandomSet,5,7,SUT-E,0.0579485222697258,0.078125,-0.0201764777302742,0.0201764777302742,0.25825891494750974,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-RandomSet,5,7,SUT-F,0.4793349727988243,0.3489583333333333,0.130376639465491,0.130376639465491,0.3736166384682727,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Handcrafted-Similarity,5,7,SUT-E,0.0,0.078125,-0.078125,0.078125,1.0,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Handcrafted-Similarity,5,7,SUT-F,0.39431531550093457,0.3489583333333333,0.045356982167601256,0.045356982167601256,0.12997821755491704,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-Similarity-H,5,7,SUT-E,0.05678902938961983,0.078125,-0.021335970610380173,0.021335970610380173,0.2731004238128662,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-Similarity-H,5,7,SUT-F,1.0000000409781933,0.3489583333333333,0.65104170764486,0.65104170764486,1.8656717592210914,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
NoSimilarity-Optimized,5,7,SUT-E,0.0,0.078125,-0.078125,0.078125,1.0,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
NoSimilarity-Optimized,5,7,SUT-F,0.6000000000000001,0.3489583333333333,0.2510416666666668,0.2510416666666668,0.7194029850746272,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
CMC,5,8,SUT-E,0.0,0.078125,-0.078125,0.078125,1.0,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
CMC,5,8,SUT-F,0.2,0.3489583333333333,-0.1489583333333333,0.1489583333333333,0.42686567164179096,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Uniform,5,8,SUT-E,0.0,0.078125,-0.078125,0.078125,1.0,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Uniform,5,8,SUT-F,0.4,0.3489583333333333,0.05104166666666671,0.05104166666666671,0.14626865671641803,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
IS,5,8,SUT-E,0.11661228543055752,0.078125,0.038487285430557516,0.038487285430557516,0.4926372535111362,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
IS,5,8,SUT-F,0.11661228543055752,0.3489583333333333,-0.2323460479027758,0.2323460479027758,0.6658274805572083,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-RandomSet,5,8,SUT-E,0.031023353338241577,0.078125,-0.04710164666175842,0.04710164666175842,0.6029010772705078,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-RandomSet,5,8,SUT-F,0.36060818284749985,0.3489583333333333,0.011649849514166533,0.011649849514166533,0.03338464338388022,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
